is_in:village,Is_there_a_Project_associated_,Ward,Sub_ward_location_001,Sub_Location_marigat,Sub_Location_Kiponjos,Sub_Location_Bekibon,Sub_Location_Tuluongoi,Sub_Location_Kimalel,Sub_Location_Kimondis,Sub_Location_Sokta,Sub_Location_Ewalel_Soi,Sub_ward_location,Sub_location_Mogotio,Sub_location_ngubereti,Sub_location_Sirwa,Sub_location_Koitebes_Kimngorom,Sub_location_Kiptoim,Sub_location_Rosoga,PB_or_HQ,Project_Name,Additional_Project_Details,,,Budgeted sum,wb_pb:id,added wb_pb:id,Category,Type_of_project,If_Other_what_is_the_project_type,What_is_the_project_s_apparent_status,Projects_that_have_been_completed,projects_that_have_not_yet_started,projects_that_have_stalled,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y,image:project,Notes corrections on Kobo,zack's comment/feedback/correction,Validation Status on Kobo,Notes Adele 10/10 and 29/10
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Sub County Hospital,Construction of office outpatient block and general ward blocks,,,"2,784,900.00",1,,HS,hospital,,completed,operational,,,excellent,All the services are running well.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568108977395.jpg,Fixed Dep,,Approved,
Kipsogon,yes,mogotio,,,,,,,,,,mogotio,kelelwa,,,,,,PB,Kipsogon Health Center,Renovation of construction works.,,,"1,000,000.00",2,,HS,dispensary,,completed,operational,,,adequate,"Not all general medical services are offered and it has few staff who work there, but the structural works is commendable.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568274183497.jpg,"Fixed Dep, corrected spelling mistake",,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Sub County Hospital,Construction/maintanance of Administration block at Mogotio Sub County Hospital,,,,3,,HS,hospital,,completed,operational,,,excellent,The building is in good condition right now and it is being used to serve people.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568109376113.jpg,Fixed Dep and spelling mistake,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Sub County Hospital,Plumbing works at Mogotio Sub County Hospital,,,,4,,HS,Water_project,,completed,operational,,,adequate,Plumbing works have not been done to all the blocks but availability of water storage facility is okay.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568111690936.jpg,Fixed Dep and spelling mistake,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Sub County Hospital,Construction of septic tank,,,"3,851,084.00",5,,HS,hospital,,completed,operational,,,excellent,It's functioning properly.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568109816579.jpg,Fixed Dep,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Sub County Hospital,Construction of Kitchen and laundry block,,,"2,000,000.00",6,,HS,hospital,,completed,operational,,,adequate,The general construction works are good only that it requires kitchen properties.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568111069610.jpg,Fixed Dep,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Sub County Hospital,Installation of underground cables,,,"2,000,000.00",7,,HS,Other_1,Power Cables,completed,operational,,,excellent,Fully operational,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568110475948.jpg,Fixed Dep and added Power Cables after Other,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Sub County Hospital,Construction of theatre room,,,"6,908,475.00",8,,HS,hospital,,not_yet_started,,handed_over_to,,adequate,The hospital community hopes it will ease some of its services and hope the project will start very soon.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568112183368.jpg,Fixed Dep and spelling mistake,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Information Center,Construction of Mogotio information center,,,"17,889,535.40",9,,TWNRM,Other_1,Office building,stalled,,,contractor_left,adequate,The project is on the finishing stage and requires immediate action and the structural standard is okay.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568284560450.jpg,Fixed Dep,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Public Park,Construction of perimeter wall for the park,,,"2,000,000.00",10,,TWNRM,Other_1,Public Park,completed,non_operational,,,excellent,Wall are well fitted including the gates.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568119447178.jpg,Fixed Dep and added Public Park after Other,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Model Tree Nursery,Construction of office,,,"1,942,110.00",11,,TWNRM,Other_1,Office Building,completed,operational,,,adequate,"Power installation, gutters to be properly erected, office furniture and equipments but the office standard is satisfying.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568118674302.jpg,Fixed Dep and added Office building after Other,,Approved,
Ngusero,yes,mogotio,,,,,,,,,,mogotio,kelelwa,,,,,,PB,Ngusero ECDE,Construction of ECDE classroom,,,"1,000,000.00",12,,EDU,ecde_centre,,completed,operational,,,excellent,It was fully finished by contractor. It is in good condition and the pupils are using the classroom,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568365732151.jpg,"Corrected ECDE, fixed Dep and removed some spaces in between words",,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,St. Mary ECDE,Construction of ECDE classroom,,,"905,386.00",13,,EDU,ecde_centre,,completed,operational,,,excellent,The facility is in good condition and pupils are using the classroom.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568116358543.jpg,"Corrected ECDE, fixed Dep",,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Lomanira ECDE,Construction of ECDE classroom,,,"1,000,000.00",14,,EDU,ecde_centre,,on_going,,,,adequate,Construction of the classroom is good but it is still going on with construction of other classes,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568373373745.jpg,"Corrected ECDE, fixed Dep, removed spaces in between words",,Approved,
Kipsogon,yes,mogotio,,,,,,,,,,mogotio,kelelwa,,,,,,PB,Oroyet ECDE,Construction of ECDE classroom,,,"1,500,000.00",15,,EDU,ecde_centre,,not_yet_started,,under_procurement,,poor,Construction of the county project has not started but once it's complete it will replace the already existing structure which is in bad state.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568032407429.jpg,"Corrected pelling and project name, and correct department",,Approved,
Kipsogon,yes,mogotio,,,,,,,,,,mogotio,kelelwa,,,,,,PB,Kipsogon ECDE,Construction of ECDE classroom,,,"1,000,000.00",16,,EDU,ecde_centre,,stalled,,,contractor_left,adequate,"The standard of construction materials is okay, only that the contructor has left the site with no notice to the school.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568026794231.jpg,"Corrected spelling mistakes, and department",,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Kisoyan Cheburet ECDE,Construction of ECDE classroom,,,"1,200,000.00",17,,EDU,ecde_centre,,completed,operational,,,adequate,"The structural standard of the classroom is fit but it only lacks facilities like chairs, tables and water tank",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568282700155.jpg,"Fixed Dep, corrected spelling mistake",,Approved,
Lomanira,yes,mogotio,,,,,,,,,,mogotio,chemogoch,,,,,,PB,Muiya Borehole Water Supply,Construction of Muiya Water Supply,,,"505,630.00",19,,WI,Water_project,,completed,operational,,,excellent,It's fully operational at the moment with all piping from the tank done.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568367680959.jpg,"Corrected project name, fixed Dep",,Approved,
Lomanira,yes,mogotio,,,,,,,,,,mogotio,chemogoch,,,,,,PB,Mogotio Borehole,Equipping of Mogotio borehole,,,"7,145,507.00",20,,WI,borehole,,completed,operational,,,excellent,It's fully operational with all equipments available.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568362343564.jpg,Fixed Dep,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Water Supply,Extension of pipeline for water supply.,,,"2,000,000.00",21,,WI,Water_project,,completed,operational,,,excellent,All the services are running on well.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568117946031.jpg,Fixed Dep,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Town Reticulation Systems,Piping of Mogotio township,,,"4,000,000.00",22,,WI,Water_project,,completed,non_operational,,,excellent,"The piping system is already done, awaiting for water supply from Chemususu Water project.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568712033874.jpg,Corrected project name,Approved,,
Chemogoch,yes,mogotio,,,,,,,,,,mogotio,chemogoch,,,,,,PB,Kuronionde Tank,Erection of Kuronionde storage tank,,,"1,200,000.00",23,,WI,Water_project,,completed,non_operational,,,poor,The project is no longer operational since the management was not able to pay electrical bills. The management should be disbanded.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568368900983.jpg,"Corrected project name, fixed Dep",,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Playing Field,Rehabilitation of Mogotio play field,,,"500,000.00",24,,SCG,sports_ground,,completed,operational,,,adequate,"No proper line marks, no complete infrastructure requirement like goal post not completely done and field is in use.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568281640933.jpg,Fixed Dep,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Tannery,Completion of Mogotio Tannery,,,"5,000,000.00",25,,TCI,Other_1,Tannery,on_going,,,,adequate,Phase 2 refurbishment of the tannery has not yet started,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568107641437.jpg,Fixed Dep and added Tannery after Other,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio old market,Proposed renovation civil works at Mogotio old market,,,"1,000,000.00",26,,TCI,public_toilet,,completed,operational,,,excellent,Construction of the toilet was well done and people are using it.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568271483973.jpg,"Corrected project name, fixed Dep, corrected spelling mistake",,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Boda boda shed,Construction of boda boda shed,,,"400,000.00",27,,FIEC,Other_1,Boda boda shade,completed,operational,,,adequate,Construction is quite good but the floor has not been cemented.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568278220622.jpg,Corrected spelling mistakes and fixed Dep,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Solar Street Lights,Installation of street lights,,,"1,788,720.00",28,,RTEPW,Other_1,Street Lights,completed,non_operational,,,poor,Most of them are no longer working.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568276784568.jpg,Fixed Dep,,Approved,
Chemogoch,yes,mogotio,,,,,,,,,,mogotio,chemogoch,,,,,,PB,Equator dip Alphega Road,Upgrading of roads,,,"954,665.00",29,,RTEPW,road,,completed,operational,,,adequate,Some sections of the road were not completed.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568806638092.jpg,Nothing,Approved,,
Kipsogon,yes,mogotio,,,,,,,,,,mogotio,kelelwa,,,,,,PB,Kipsogon Footbridge,Construction of footbridge,,,"2,000,000.00",30,,RTEPW,road,,completed,operational,,,excellent,Construction of the bridge is good and people are using it to transit.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568269679410.jpg,"Fixed Dep, corrected spelling mistake",,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio slaughter house,Renovation of Mogotio slaughter house,,,"2,892,892.00",31,,AGLF,public_toilet,,completed,operational,,,excellent,Construction of the toilets is good and they are already in use.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568374459571.jpg,"Fixed Dep, corrected grammar",,Approved,
Ngusero,yes,mogotio,,,,,,,,,,mogotio,kelelwa,,,,,,PB,Ngusero Cattle Dip,Construction of cattle dip,,,"1,500,000.00",32,,AGLF,Other_1,Cattle Dip,completed,operational,,,excellent,It's serving the community well. They are happy.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568366537526.jpg,Fixed Dep,,Approved,
Igonwo,yes,mogotio,,,,,,,,,,rosoga,,,,,,rosoga,PB,Igonwo Cattle Dip,Construction of a cattle dip,,,"1,448,260.00",33,,AGLF,Other_1,Cattle Dip,completed,operational,,,excellent,Everything was installed excellent under quality material,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568022854738.jpg,"Corrected spelling mistakes, added Cattle Dip as Other and correct department",,Approved,
Rosoga,yes,mogotio,,,,,,,,,,rosoga,,,,,,rosoga,PB,Rosoga-Kapchekut Sorti Rd,Upgrading of Road,,,"1,314,000.00",34,,RTEPW,Road,,completed,operational,,,poor,The project was poorly done. Some parts of the road can't be accessed during rainy season.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568363587960.jpg,"Corrected from Other to Road. This row is the right one, duplicate on 09/09 to be flagged as Not Approved",,Approved,
Kures,yes,mogotio,,,,,,,,,,rosoga,,,,,,rosoga,PB,Chepchamus borehole,Drilling and equipping of Chepchamus borehole,,,"3,411,846.00",35,,WI,borehole,,completed,operational,,,excellent,The project is running though they require more solar to make the machine run powerfully.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568097475688.jpg,"Corrected spelling mistake, fixed Dep",,Approved,
Kures,yes,mogotio,,,,,,,,,,rosoga,,,,,,rosoga,PB,Kures ECDE,Construction of ECDE classroom,,,"1,000,000.00",36,,EDU,ecde_centre,,completed,operational,,,poor,The contractor whom they had given the tender didn't do a good job and the school board is not happy since the classroom has been a shelter of bats and bees.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568100258866.jpg,"Corrected ECDE, fixed Dep",,Approved,
Lombala,yes,mogotio,,,,,,,,,,rosoga,,,,,,rosoga,PB,Lombala ECDE,Construction of ECDE Class,,,"1,000,000.00",37,172,EDU,ecde_centre,,not_yet_started,,under_procurement,,poor,The project has not yet started. Up to now they is no contractor on the site hence nothing is going on. The school is even unsure when the project should start.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568361313473.jpg,no. 37 twice on 13/09: one needs to be removed ‘cause of wrong picture: still to understand with Zack which one,"this is the correct one --> okay, corrected ID, grammar and Approved",Approved,
Rosoga,yes,mogotio,,,,,,,,,,rosoga,,,,,,rosoga,PB,Rosoga ECDE,Construction of ECDE Classroom,,,"1,000,000.00",38,,EDU,ecde_centre,,on_going,,,,adequate,The project is ongoing and if it goes this way it will complete under time given.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568030348372.jpg,"Corrected spelling mistakes, project name and department",,Approved,
Kiprota,yes,mogotio,,,,,,,,,,rosoga,,,,,,rosoga,PB,Kiprota ECDE,Construction of ECDE classroom,,,"1,500,000.00",39,,EDU,ecde_centre,,completed,operational,,,excellent,"The classroom is nice, but there are no seats and chairs and tables for the students and also learning/teaching materials to be used by teachers. The teacher has more challenges in terms of money as salary, since no parent cooperates in paying the fees. The place is also bushy and snakes are a threat.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568101943144.jpg,"Corrected ECDE, a spelling mistake and fixed Dep",,Approved,
Kaburgei,yes,mogotio,,,,,,,,,,sirwa,,,kaburgei,,,,PB,Kaburgei Cattle Dip,Construction of Cattle Dip,,,"1,500,000.00",40,,AGLF,Other_1,Cattle Dip,completed,operational,,,excellent,"It is well roofed, a permanent water tank and well constructed crush with metals.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568038697470.jpg,Corrected department and added Cattle Dip,,Approved,
Kaplaimoi,yes,mogotio,,,,,,,,,,sirwa,,,sore,,,,PB,Kaplaimoi foot bridge,Construction of foot bridge,,,"5,156,950.00",41,,RTEPW,Water_project,,completed,operational,,,excellent,Construction was done very well using good quality metals.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568271515860.jpg,Fixed Dep,,Approved,
Chepkoyo,yes,mogotio,,,,,,,,,,sirwa,,,sirwa,,,,PB,Sirwa-Kapkech Road,Dozer works,,,"1,151.18",42,,RTEPW,road,,stalled,,,contractor_left,poor,The road is not well levelled and therefore impassable,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568812921681.jpg,Corrected name of the project,Approved,,
Kaburgei,yes,mogotio,,,,,,,,,,sirwa,,,kaburgei,,,,PB,Bei Chebo No water supply,Construction of Bei Chebo No water supply,,,"2,237,440.00",43,,WI,Water_project,,completed,non_operational,,,poor,The water overflowed and swept away the whole intake.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568287707918.jpg,Fixed Dep,,Approved,
Kapkein,yes,mogotio,,,,,,,,,,sirwa,,,kapkein,,,,PB,Kapkein borehole (water kiosk),Drilling and equipping of Kapkein borehole,,,"3,075,700.00",44,,WI,Water_project,,completed,operational,,,excellent,The water kiosk is functioning well. The water is not yet clean for human consumption because it still has some dirt.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568370358804.jpg,no. 44 duplication: they remain both 44 for now since they’re exactly the same project. Corrected project name,,Approved,to eventually put 44a and 44b in case
Kapkein,yes,mogotio,,,,,,,,,,sirwa,,,kapkein,,,,PB,Kapkein borehole,Drilling and equipping of Kapkein borehole,,,"3,075,700.00",44,,WI,borehole,,completed,operational,,,adequate,The borehole has been drilled and equipped and water is being pumped. The water has also only been distributed to the water kiosk but domestic distribution to the community has not yet started because piping has not yet been done. The water is still not clean and fit for human consumption because it has yellow/rusty component.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568371006958.jpg,no. 44 duplication: they remain both 44 for now since they’re exactly the same project. Corrected spelling mistake,,Approved,to eventually put 44a and 44b in case
Chemorgong,yes,mogotio,,,,,,,,,,sirwa,,,kaburgei,,,,PB,Chemorogong ECDE,Construction of ECDE Classroom,,,"915,863.00",47,,EDU,ecde_centre,,stalled,,,low_budget,poor,"Roofing not done, no door and windows",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568104978746.jpg,Corrected project name and department,,Approved,
Kapsok,yes,mogotio,,,,,,,,,,sirwa,,,kapkein,,,,PB,Kapsok ECDE,Construction of ECDE classroom,,,"1,237,534.00",48,,EDU,ecde_centre,,completed,operational,,,adequate,It is well constructed with windows and lockable door fixed but needs to be equipped.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568370494470.jpg,Fixed Dep,,Approved,
Magrip,yes,mogotio,,,,,,,,,,sirwa,,,kaburgei,,,,PB,Magrip ECDE,Construction of ECDE Classroom,,,"1,500,000.00",49,,EDU,ecde_centre,,completed,operational,,,adequate,"Well roofed with windows and lockable door, there is need for staircase to be improved so as to cater for pupils with disability. This is the main reason as to why the facility has not been used.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568111180352.jpg,Fixed department,,Approved,
Kiptaoi,yes,mogotio,,,,,,,,,,sirwa,,,sirwa,,,,PB,Sirwa Dispensary,Construction of 12 bed ward,,,"2,000,000.00",50,,HS,dispensary,,not_yet_started,,handed_over_to,,poor,Delay of contractor starting the work. Up to now there is nothing that has been done.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568031833110.jpg,Corrected department and spelling mistake,,Approved,
Kaburgei,yes,mogotio,,,,,,,,,,sirwa,,,kaburgei,,,,PB,Sirwa Athletics Camp,Construction of Sirwa Athletics Camp,,,"4,420,000.00",51,,SCG,sports_ground,,stalled,,,low_budget,adequate,"The ground is cleared, levelled, fenced. Construction of athletics dormitories and washrooms is incomplete",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568036490919.jpg,"Corrected project name, department and some spaces in between words",,Approved,
Sagasagik,yes,mogotio,,,,,,,,,,rosoga,,,,,,rosoga,PB,Mogotio - Sagasagik Road,Grading and murraming of Mogotio - Sagasagik Road,,,"4,966,880.00",52,,RTEPW,road,,completed,operational,,,poor,"The contractor didn't complete the project, leaving some sections not done",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1570018010382.jpg,,,Approved,"is this a duplicate of 177? this is the correct, to not approve 177. Nothing else done"
Muserechi,yes,mogotio,,,,,,,,,,kiptoim,,,,,ndanai,,PB,Kapnaburuki - Kipngasia Road,Upgrading of roads,,,"1,000,000.00",53,,RTEPW,road,,completed,operational,,,adequate,It remains adding of murram but grading has been completed,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1570021419395.jpg,,,Approved,"is the correct spelling this one or ""Kapnabruki - Kipngasia road"" as in the Dep.Health spreadsheet? with U correct. Corrected grammar"
Lombogishu,yes,mogotio,,,,,,,,,,kiptoim,,,,,ndanai,,PB,Lombogishu borehole,Drilling of Lombogishu borehole,,,"1,839,219.00",54,,WI,borehole,,completed,non_operational,,,adequate,The borehole water is salty hence not good for human and livestock consumption thus community request government to come up with a machine which will be used to distilled water to make it consumable.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568275477602.jpg,"from project IDs 54 to 58 (Mogotio), the correct code is actually WI (Water and Irrigation, it was a mistake on the proj list), so it was not a mistake what they entered for 54 and 55, plus to correct the others in the same range → DONE on csv for 54, 55, 57, 58 (still as 55) → remember to check also when they’ll map no.56. Corrected spelling mistakes, fixed Dep",,Approved,
